Title,Release_Date,Expired_Date,Activity_Code,Organization,Parent_Organization,Participating_Orgs,Document_Number,Document_Type,Clinical_Trials,URL
"Notice of Special Interest (NOSI): Availability of Urgent Competitive Revisions to Add or Expand Research and Administrative Supplements on Cutting Edge Pain Research in Rheumatic, Skin, and Musculoskeletal Disease.",3/3/2023,,Admin Supp,NIAMS,NIH,None,NOT-AR-23-015,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-AR-23-015.html
NIMH Research Education Programs for Psychiatry Residents (R25- Independent Clinical Trial Not Allowed),3/3/2023,5/25/2025,R25,NIMH,NIH,None,PAR-23-266,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-23-266.html
NIMH Mentoring Networks for Mental Health Research Education (R25 Clinical Trial Not Allowed),3/3/2023,5/25/2025,R25,NIMH,NIH,None,PAR-23-263,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-23-263.html
NIMH Short Courses for Mental Health Related Research (R25 -Independent Clinical Trial Not Allowed),3/3/2023,5/25/2025,R25,NIMH,NIH,None,PAR-23-265,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-23-265.html
Translational Research in Maternal and Pediatric Pharmacology and Therapeutics (R21 Clinical Trial Optional),3/1/2023,5/7/2026,R21,NICHD,NIH,"NIAID, NIDA, ORWH",PAR-23-131,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-23-131.html
Translational Research in Maternal and Pediatric Pharmacology and Therapeutics (R01 Clinical Trial Optional),3/1/2023,5/7/2026,R01,NICHD,NIH,"NIAID, NIDA, NIMH, ORWH",PAR-23-130,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-23-130.html
Notice of Special Interest (NOSI): Administrative Supplements for NCI Division of Cancer Biology Research Programs,3/1/2023,,Admin Supp,NCI,NIH,None,NOT-CA-23-045,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-CA-23-045.html
Notice of Special Interest (NOSI): Administrative supplements to examine the effects of digital tools and interventions on patient-provider communication across the cancer control continuum,3/1/2023,,Admin Supp,NCI,NIH,None,NOT-CA-23-041,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-CA-23-041.html
Exploratory Grants for Climate Change and Health Research Center Development (P20 Clinical Trial Optional),3/1/2023,11/7/2023,P20,NIEHS,NIH,"FIC, NHLBI, NIAID, NICHD, NIMH, NIMHD, NINR, ODP",RFA-ES-23-007,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-ES-23-007.html
Genomic Community Resources (U24 Clinical Trial Not Allowed),3/1/2023,1/25/2026,U24,NHGRI,NIH,NCI,PAR-23-124,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-23-124.html
Ex Vivo Models for Studies at the Intersection of HIV and Poly-Substance Use (R01 Clinical Trial Not Allowed),2/28/2023,8/13/2025,R01,NIDA,NIH,None,RFA-DA-24-001,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-DA-24-001.html
"Postbaccalaureate Research Education Program in Diabetes, Endocrinology and Metabolic Diseases (R25  Independent Clinical Trial not Allowed)",2/27/2023,10/25/2023,R25,NIDDK,NIH,None,RFA-DK-22-037,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-DK-22-037.html
Using Secondary Data Analysis to Determine Whether Preventive Interventions Implemented Earlier in Life Reduce Suicide Risk (U01 Clinical Trial Not Allowed),2/27/2023,10/10/2023,U01,NIMH,NIH,None,RFA-MH-23-275,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-MH-23-275.html
Clinical-Community Linkages to Address Social Needs and Social Conditions to Advance Health Equity among Populations Experiencing Health Disparities: The Bridge-to-Care Initiative (R01 Clinical Trial Required),2/27/2023,5/1/2023,R01,NINR,NIH,None,RFA-NR-23-004,RFA,Required,https://grants.nih.gov/grants/guide/rfa-files/RFA-NR-23-004.html
Advancing Integrated Models (AIM) of Care to Improve Pregnancy  Outcomes among Women Who Experience Persistent Disparities (R01 Clinical Trial Optional),2/27/2023,5/1/2023,R01,NINR,NIH,"NIMHD, ORWH, THRO",RFA-NR-23-002,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-NR-23-002.html
Evaluating the Impact of Pandemic Era related Food and Housing Policies and Programs on Health Outcomes in Health Disparity Populations (R01 Clinical Trial Optional),2/27/2023,5/1/2023,R01,NINR,NIH,"NIMH, NIMHD, ODP",RFA-NR-23-003,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-NR-23-003.html
Limited Competition: NIDDK Program Projects (P01 Clinical Trial Optional),2/27/2023,2/7/2024,P01,NIDDK,NIH,None,PAR-23-121,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-23-121.html
"Research Network to Promote Multidisciplinary Mechanistic and Translational Studies of Sickle Cell Disease Pain (U24, Clinical Trial Optional)",2/27/2023,10/1/2023,U24,NCCIH,NIH,None,RFA-AT-24-001,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-AT-24-001.html
"Notice of Special Interest (NOSI): Administrative Supplements to Leverage Network Infrastructure to Advance Multisite Research for Women, Children, Pregnant and Lactating Individuals and/or Persons with Disabilities",2/27/2023,,Admin Supp,NICHD,NIH,None,NOT-HD-23-005,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-HD-23-005.html
Paul B. Beeson Emerging Leaders Career Development Award in Aging (K76 Clinical Trial Required),2/27/2023,10/18/2024,K76,NIA,NIH,None,RFA-AG-24-015,RFA,Required,https://grants.nih.gov/grants/guide/rfa-files/RFA-AG-24-015.html
Paul B. Beeson Emerging Leaders Career Development Award in Aging (K76 Independent Clinical Trial Not Allowed),2/27/2023,10/18/2024,K76,NIA,NIH,None,RFA-AG-24-014,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-AG-24-014.html
Leveraging Big Data Science to Elucidate the Mechanisms of HIV Activity and Interaction with Substance Use Disorder (R01 Clinical Trials Not Allowed),2/23/2023,8/10/2023,R01,NIDA,NIH,NLM,RFA-DA-24-008,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-DA-24-008.html
Leveraging Big Data Science to Elucidate the Mechanisms of HIV Activity and Interaction with Substance Use Disorder (R21 Clinical Trials Not Allowed),2/23/2023,8/10/2023,R21,NIDA,NIH,NLM,RFA-DA-24-009,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-DA-24-009.html
Notice of Special Interest (NOSI): Administrative supplements to conduct systematic evidence reviews on the clinical utility of cancer-site specific polygenic risk scores (PRS) for cancer risk assessment,2/23/2023,,Admin Supp,NCI,NIH,None,NOT-CA-23-046,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-CA-23-046.html
Notice of Special Interest (NOSI): Advancing Research Needed to Develop a Coccidioidomycosis (Valley fever) Vaccine,2/23/2023,,"R01,R41/R42,R43/R44,R21,U44",NIAID,NIH,None,NOT-AI-23-031,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-AI-23-031.html
Genomics Centers for Infectious Diseases (U19 Clinical Trial Not Allowed),2/23/2023,6/2/2023,U19,NIAID,NIH,None,RFA-AI-23-015,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-AI-23-015.html
Notice of Special Interest (NOSI): Enhancing Research on Deciphering Mechanisms of COVID-19-Associated Coagulopathy,2/22/2023,,R01,NHLBI,NIH,None,NOT-HL-23-080,NOSIS,Not_Allowed,https://grants.nih.gov/grants/guide/notice-files/NOT-HL-23-080.html
NIOSH Robotics and Intelligent Mining Technology and Workplace Safety Research (U60),2/22/2023,9/29/2024,U60,NIOSH,CDC,None,RFA-OH-23-005,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-OH-23-005.html
Natural History and Biomarker Studies of Rare Neurodegenerative Diseases (U01) Clinical Trials Optional,2/22/2023,5/4/2023,U01,FDA,FDA,None,RFA-FD-23-028,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-FD-23-028.html
Notice of Special Interest (NOSI): Research supplements to promote workforce diversity and enhance utility and use of Common Fund datasets,2/22/2023,,Admin Supp,RMOD,NIH,NHGRI,NOT-RM-23-005,NOSIS,Not_Allowed,https://grants.nih.gov/grants/guide/notice-files/NOT-RM-23-005.html
Notice of Special Interest (NOSI): Administrative Supplement to Support Health Policy Research in Cancer Prevention and Control,2/21/2023,,Admin Supp,NCI,NIH,None,NOT-CA-23-044,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-CA-23-044.html
"Notice of Special Interest (NOSI) in Applications to Support Training, Workforce Development, and Diversity Conferences (R13)",2/21/2023,,R13,NIGMS,NIH,None,NOT-GM-23-028,NOSIS,Not_Allowed,https://grants.nih.gov/grants/guide/notice-files/NOT-GM-23-028.html
Notice of Special Interest (NOSI): Training Modules for Enhancing Biomedical Research Workforce Training,2/17/2023,,R25,NIGMS,NIH,SGMRO,NOT-GM-23-031,NOSIS,Not_Allowed,https://grants.nih.gov/grants/guide/notice-files/NOT-GM-23-031.html
Notice of Special Interest (NOSI): Administrative Supplements to Initiate or Augment Outreach to and Inclusion of Sexual and Gender Minority (SGM) Populations,2/17/2023,,Admin Supp,NCI,NIH,None,NOT-CA-23-032,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-CA-23-032.html
Supporting the Management of Substance Use Disorders in Primary Care and other Ambulatory Settings (R18),2/15/2023,4/15/2023,R18,AHRQ,AHRQ,None,RFA-HS-23-005,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-HS-23-005.html
Dissemination and Implementation of Equity-Focused Evidence-Based Interventions in Healthcare Delivery Systems (R18),2/15/2023,4/22/2023,R18,AHRQ,AHRQ,None,RFA-HS-23-002,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-HS-23-002.html
Community Level Interventions to Improve Minority Health and Reduce Health Disparities (R01 - Clinical Trial Optional),2/15/2023,8/9/2023,R01,NIMHD,NIH,"ODP, PN",RFA-MD-23-004,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-MD-23-004.html
"Notice of Special Interest (NOSI): Mortality of Adolescents, Young Adults, and Other NICHD Priority Populations in the United States",2/15/2023,,"R01,R15,R21,K01,R03",NICHD,NIH,"ODP, ORWH, SGMRO",NOT-HD-23-001,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-HD-23-001.html
Maintaining and Enriching Environmental Epidemiology Cohorts to Support Scientific and Workforce Diversity (U24 Clinical Trial Not Allowed),2/15/2023,2/13/2024,U24,NIEHS,NIH,None,RFA-ES-23-003,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-ES-23-003.html
HEAL Initiative: Discovery of Biomarkers and Biomarker Signatures to Facilitate Clinical Trials for Pain Therapeutics (UG3/UH3 Clinical Trial Optional),2/15/2023,10/23/2023,UG3/UH3,NINDS,NIH,"NCCIH, NCI, NEI, NHLBI, NIA, NIAAA, NICHD, NIDCR",RFA-NS-24-018,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-NS-24-018.html
Advancing HIV/AIDS Research within the Mission of the NIDCD (R21 Clinical Trial Optional),2/14/2023,1/7/2026,R21,NIDCD,NIH,None,PAR-23-106,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-23-106.html
Advancing HIV/AIDS Research within the Mission of the NIDCD (R01 Clinical Trial Optional),2/14/2023,1/7/2026,R01,NIDCD,NIH,None,PAR-23-099,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-23-099.html
AHRQ Understanding and Improving Diagnostic Safety in Ambulatory Care:  Incidence and Contributing Factors (R01),2/13/2023,4/19/2023,R01,AHRQ,AHRQ,None,RFA-HS-23-010,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-HS-23-010.html
AHRQ Improving Diagnostic Safety in Ambulatory Care: Strategies and Preventions (R18),2/13/2023,4/19/2023,R18,AHRQ,AHRQ,None,RFA-HS-23-011,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-HS-23-011.html
Pilot Interventions to Integrate Social Care and Medical Care to Improve Health Equity (R01 Clinical Trial Required),2/13/2023,10/19/2023,R01,NIDDK,NIH,None,RFA-DK-22-038,RFA,Required,https://grants.nih.gov/grants/guide/rfa-files/RFA-DK-22-038.html
Biosimilar User Fee Act (BsUFA) Research Grant (U01) Clinical Trials Optional,2/13/2023,4/26/2023,U01,FDA,FDA,None,RFA-FD-23-026,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-FD-23-026.html
IDeA Networks of Biomedical Research Excellence (INBRE) (P20 Clinical Trial Optional),2/10/2023,5/22/2025,P20,NIGMS,NIH,None,PAR-23-100,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-23-100.html
Advancing Research on Mechanisms and Management of Pain for Diseases and Conditions within NIDDK Mission Areas (R01 Clinical Trial Optional),2/10/2023,5/4/2023,R01,NIDDK,NIH,None,RFA-DK-23-006,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-DK-23-006.html
"Networking/Infrastructure Project for Research on Determinants of Differences Among Human and Nonhuman Primate Species in Life Spans, Life Histories, and Other Aging Related Outcomes, and Prospects for Translation (R61/R33 Clinical Trial Not Allowed)",2/10/2023,9/27/2023,R61/R33,NIA,NIH,None,RFA-AG-24-020,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-AG-24-020.html
"Comparative Research on Determinants of Differences Among Human and Nonhuman Primate Species in Life Spans, Life Histories, and Other Aging-Related Outcomes, and Prospects for Translation (R01 Clinical Trial Not Allowed)",2/10/2023,9/27/2023,R01,NIA,NIH,None,RFA-AG-24-019,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-AG-24-019.html
Promoting Viral Suppression among Individuals from Health Disparity Populations Engaged in HIV Care (R01 Clinical Trial Required),2/10/2023,4/3/2023,R01,NIMHD,NIH,None,RFA-MD-23-007,RFA,Required,https://grants.nih.gov/grants/guide/rfa-files/RFA-MD-23-007.html
Multi-Level HIV Prevention Interventions for Individuals at the Highest Risk of HIV Infection (R01 Clinical Trial Optional),2/10/2023,4/3/2023,R01,NIMHD,NIH,None,RFA-MD-23-008,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-MD-23-008.html
Notice of Special Interest (NOSI): Research to Improve Pre-Pregnancy Care and Enhance Healthy Birth Intervals,2/9/2023,,"R21,R03,R01",NICHD,NIH,None,NOT-HD-23-003,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-HD-23-003.html
Notice of Special Interest (NOSI): Administrative Supplements to Support the Exploration of Cloud in NIH-supported Research,2/9/2023,,Admin Supp,OD,NIH,"FIC, NCATS, NCCIH, NCI, NEI, NHGRI, NHLBI, NIA, NIAAA, NIAMS, NIBIB, NICHD, NIDA, NIDCD, NIDCR, NIDDK, NIGMS, NIMH, NIMHD, NINDS, NLM, RM",NOT-OD-23-070,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-23-070.html
Research Coordinating Center on the Exposome and Alzheimer's Disease (AD) and AD-Related Dementias (ADRD): Elucidating the Role of Social and Behavioral Determinants of Health in AD/ADRD Etiology and Disparities  (U24 Clinical Trial Not Allowed),2/9/2023,9/27/2023,U24,NIA,NIH,None,RFA-AG-24-011,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-AG-24-011.html
Using Multimodal Biomarkers to Differentially Diagnose ADRDs for Clinical Trials (U19 Clinical Trial Optional),2/9/2023,6/1/2023,U19,NINDS,NIH,NIA,RFA-NS-24-001,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-NS-24-001.html
Sexually Transmitted Infections (STI) Cooperative Research Centers (CRC): Vaccine Development (U01 Clinical Trial Not Allowed),2/9/2023,6/14/2023,U01,NIAID,NIH,None,RFA-AI-23-008,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-AI-23-008.html
NIH SIREN Neurologic Clinical Trials (UG3/UH3 - Clinical Trial Required),2/8/2023,3/6/2026,UG3/UH3,NINDS,NIH,None,PAR-23-090,PAR,Required,https://grants.nih.gov/grants/guide/pa-files/PAR-23-090.html
"Education Activities for Responsible Analyses of Complex, Large-Scale Data (R25- Clinical Trial Not Allowed)",2/8/2023,2/8/2024,R25,NIDA,NIH,None,RFA-DA-24-027,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-DA-24-027.html
Limited Competition for the Continuation of the Rare and Atypical Diabetes NeTwork (RADIANT) Specialized Study Centers (U54 - Clinical Trial Not Allowed),2/7/2023,6/7/2023,U54,NIDDK,NIH,None,RFA-DK-22-511,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-DK-22-511.html
Accelerating the Pace of Drug Abuse Research Using Existing Data (R21 Clinical Trial Optional),2/7/2023,11/15/2024,R21,NIDA,NIH,None,RFA-DA-24-037,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-DA-24-037.html
Consortium for Food Allergy Research: Leadership Center (UM1 Clinical Trial Required),2/7/2023,6/9/2023,UM1,NIAID,NIH,None,RFA-AI-22-077,RFA,Required,https://grants.nih.gov/grants/guide/rfa-files/RFA-AI-22-077.html
Consortium for Food Allergy Research: Clinical Research Center (U01 Clinical Trial Required),2/7/2023,6/9/2023,U01,NIAID,NIH,None,RFA-AI-22-076,RFA,Required,https://grants.nih.gov/grants/guide/rfa-files/RFA-AI-22-076.html
"Notice of Special Interest (NOSI): Small Business Digital Technologies for Early Detection, Characterization and Monitoring of Senescence-Related Changes",2/7/2023,,"R43/R44,R41/R42",NIA,NIH,None,NOT-AG-23-004,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-AG-23-004.html
Discovery of the Genetic Basis of Childhood Cancers and of Structural Birth Defects: Gabriella Miller Kids First Pediatric Research Program (X01 Clinical Trial Not Allowed),2/6/2023,3/21/2023,X01,RMOD,NIH,None,PAR-23-035,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-23-035.html
Notice of Special Interest (NOSI): Addressing the Etiology of Health Disparities and Health Advantages Among Immigrant Populations ,2/6/2023,,"R01,R61/R33",NIMHD,NIH,"NCI, NIAAA, NIDA",NOT-MD-23-002,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-MD-23-002.html
Notice of Special Interest (NOSI): Addressing Health Disparities Among Immigrant Populations Through Effective Interventions ,2/6/2023,,R01,NIMHD,NIH,"NCI, NEI, NIAAA, NIDA, ORWH",NOT-MD-23-003,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-MD-23-003.html
Notice of Special Interest (NOSI): Advancing Research for Amyotrophic Lateral Sclerosis (ALS),2/6/2023,,"R61/R33,R41/R42,R43/R44",NINDS,NIH,None,NOT-NS-23-062,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-NS-23-062.html
Advancing Gender Inclusive Excellence (AGIE)  Coordinating Center (U24 Clinical Trial Not Allowed),2/6/2023,1/31/2024,U24,ORWH,NIH,NIDDK,RFA-OD-23-004,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-OD-23-004.html
Collaborative Program Grant for Multidisciplinary Teams (RM1 - Clinical Trial Optional),2/3/2023,1/27/2026,RM1,NIGMS,NIH,None,PAR-23-077,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-23-077.html
NIMHD Exploratory/Developmental Research Grant Program (R21 - Clinical Trial Optional),2/1/2023,5/7/2026,R21,NIMHD,NIH,None,PAR-23-111,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-23-111.html
Research on Bioethical Issues Related to Bionic and Robotic Device Development and Translation (R21 Clinical Trial Optional),2/1/2023,10/2/2023,R21,NIBIB,NIH,OD,RFA-EB-23-001,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-EB-23-001.html
"Data Harmonization, Curation and Secondary Analysis of Existing Clinical Datasets (R61/R33 Clinical Trial Not Allowed)",1/31/2023,3/14/2024,R61/R33,NINDS,NIH,ODSS,PAR-23-089,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-23-089.html
Team Science Approaches Integrating Experimental and Computational Brain Aging Models (R21/R33 Clinical Trial Not Allowed),1/31/2023,9/22/2023,R21/R33,NIA,NIH,None,RFA-AG-24-018,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-AG-24-018.html
"Notice of Special Interest (NOSI): Development of Functional Assay Sites to Evaluate Candidate -Omics Variants Associated with Heart, Lung, Blood, or Sleep Disease (R01, R41, R42, R43, R44) ",1/31/2023,,"R41/R42,R43/R44,R01",NHLBI,NIH,None,NOT-HL-23-066,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-HL-23-066.html
Conference for Early Stage HIV/AIDS Researchers Using Nonhuman Primate Models (R13 Clinical Trial Not Allowed),1/31/2023,1/7/2024,R13,ORIP,NIH,None,PAR-22-262,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-22-262.html
FDA OMHHE Health Equity Innovation Award:  Racial & Ethnic Minority Acceleration Consortium for Health Equity (REACH) (U01) Clinical Trials Optional   ,1/31/2023,4/6/2023,U01,FDA,FDA,None,RFA-FD-23-010,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-FD-23-010.html
Career Enhancement Award to Advance Research on Firearm Injury and Mortality Prevention (K18 Independent Clinical Trial Not Allowed),1/30/2023,3/17/2023,K18,OBSSR,NIH,"NCCIH, NIA, NIDA, NIMH, NIMHD, NINR, ODP, ORWH, SGMRO",PAR-23-108,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-23-108.html
Career Enhancement Award to Advance Research on Firearm Injury and Mortality Prevention (K18 Independent Clinical Trial Required),1/30/2023,3/17/2023,K18,OBSSR,NIH,"NCCIH, NIA, NIDA, NIMH, NIMHD, NINR, ODP, ORWH, SGMRO",PAR-23-107,PAR,Required,https://grants.nih.gov/grants/guide/pa-files/PAR-23-107.html
Notice of Special Interest (NOSI): Revision Applications to add a Curation and Informatics Component to existing Animal and Biological Material Resource Centers (P40) (Clinical Trials Not Allowed),1/30/2023,,P40,ORIP,NIH,None,NOT-OD-23-068,NOSIS,Not_Allowed,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-23-068.html
